DELKO,20200817,22.0000,22.4000,21.4000,22.0000,5049
DEVELIA,20200817,1.9000,1.9400,1.8900,1.9320,552365
DGA,20200817,5.0600,5.0600,5.0600,5.0600,10
DIGITREE,20200817,8.3000,8.3500,8.3000,8.3500,11
DINOPL,20200817,230.0000,233.6000,228.4000,233.6000,113945
DOMDEV,20200817,105.0000,105.5000,103.0000,104.0000,14410
DROZAPOL,20200817,1.4250,1.4400,1.4050,1.4050,21803
ECHO,20200817,3.7800,3.8500,3.7800,3.8400,47515
EDINVEST,20200817,2.5400,2.6600,2.5400,2.6600,31317
EFEKT,20200817,5.3000,5.3000,5.0500,5.0500,1351
EKOEXPORT,20200817,5.5900,5.7000,5.3900,5.5800,12376
ELBUDOWA,20200817,1.5360,1.5900,1.5300,1.5500,20570
ELEKTROTI,20200817,6.8000,6.8200,6.6600,6.6600,1120
ELEMENTAL,20200817,2.1500,2.1700,2.0000,2.0300,249499
ELKOP,20200817,0.3350,0.3350,0.3100,0.3300,71265
ELZAB,20200817,4.8600,4.8600,4.7000,4.8200,5175
EMCINSMED,20200817,10.1000,10.1000,10.1000,10.1000,904
ENAP,20200817,1.7000,1.7000,1.7000,1.7000,6192
ENEA,20200817,6.9900,6.9900,6.8250,6.9350,151318
ENELMED,20200817,13.5000,13.5000,13.5000,13.5000,300
ENERGA,20200817,7.7000,7.7000,7.5000,7.5200,41263
ENERGOINS,20200817,0.8380,0.8700,0.8380,0.8500,5391
ENTER,20200817,27.4000,27.4000,25.4000,26.5000,9161
ERBUD,20200817,20.2000,21.2000,19.5000,20.0000,2360
ERG,20200817,53.5000,56.5000,52.5000,55.0000,1214
ESOTIQ,20200817,9.3600,9.3600,9.3000,9.3000,184
ETFDAX,20200817,535.3000,536.3000,532.5000,535.0000,64
ETFSP500,20200817,128.0800,128.0800,127.4000,127.5000,891
ETFW20L,20200817,229.0000,230.0000,228.0000,230.0000,127
EUCO,20200817,4.4200,4.4500,4.3400,4.4400,4466
EUROCASH,20200817,15.7600,15.9800,15.6800,15.7000,77004
EUROHOLD,20200817,4.2600,4.2600,3.8400,3.8400,496
EUROTEL,20200817,19.5000,19.5000,19.1000,19.4000,722
EVEREST,20200817,30.0000,30.8000,28.6000,30.0000,1954
FAMUR,20200817,1.8700,1.8760,1.8380,1.8600,506255
FASING,20200817,11.6000,11.6000,11.6000,11.6000,86
FEERUM,20200817,12.4500,12.4500,12.4500,12.4500,5
FERRO,20200817,18.6500,18.6500,18.3500,18.6500,408
FERRUM,20200817,4.0000,4.0800,3.9400,3.9400,4086
FON,20200817,0.1410,0.1500,0.1400,0.1480,14586
FORTE,20200817,25.0000,25.7000,24.6000,25.4000,4026
GAMEOPS,20200817,36.0000,37.9000,35.4500,37.0000,7078
GAMFACTOR,20200817,26.3000,26.3000,23.6700,25.0000,7760
GAMFACTOR-PDA,20200817,22.4450,22.4450,21.0200,21.8550,9002
GETIN,20200817,1.0500,1.0560,1.0200,1.0400,325530
GETINOBLE,20200817,0.2340,0.2350,0.2295,0.2300,289457
GLCOSMED,20200817,7.8000,8.3000,7.3000,8.1000,185159
GPW,20200817,45.0000,46.0000,44.7000,45.8000,37200
GROCLIN,20200817,1.3450,1.3450,1.2600,1.3000,47620
GRODNO,20200817,15.8000,15.8000,14.9000,15.3000,114841
GRUPAAZOTY,20200817,27.0500,27.6000,27.0000,27.3000,20730
GTC,20200817,6.1000,6.1200,5.9400,6.1000,22814
HANDLOWY,20200817,36.7000,36.7000,35.9500,36.0500,10753
HARPER,20200817,18.8000,22.6000,18.2000,22.6000,272359
HELIO,20200817,11.9000,11.9000,11.4000,11.8000,106
HERKULES,20200817,1.2500,1.2500,1.2000,1.2450,29414
HMINWEST,20200817,9.9500,9.9500,9.9500,9.9500,10
HUBSTYLE,20200817,0.4400,0.4400,0.4400,0.4400,14
HYDROTOR,20200817,30.6000,30.6000,29.8000,30.4000,344
I2DEV,20200817,9.7500,9.7500,9.3500,9.3500,202
IALBGR,20200817,0.4720,0.4720,0.4720,0.4720,5800
IDEABANK,20200817,2.1300,2.1300,2.0500,2.0800,48495
IFIRMA,20200817,4.3000,4.3000,4.1400,4.2600,7656
IMCOMPANY,20200817,11.4500,11.5000,11.1000,11.4500,10593
IMMOBILE,20200817,2.7000,2.7000,2.6200,2.6900,779
IMS,20200817,3.1000,3.1500,3.0200,3.1100,38019
INC,20200817,12.7500,14.4000,12.6000,14.4000,177449
INGBSK,20200817,139.8000,140.8000,138.0000,139.6000,1596
INPRO,20200817,4.9000,4.9000,4.7800,4.7800,101
INSTALKRK,20200817,19.2500,19.6000,19.2000,19.6000,1918
INTERAOLT,20200817,14.3000,14.4000,14.0000,14.2500,9083
INTERCARS,20200817,225.0000,231.0000,224.0000,230.0000,961
INTERFERI,20200817,3.1000,3.1000,3.1000,3.1000,760
INTERSPPL,20200817,1.3500,1.4500,1.3000,1.4200,20027
INTLBCO31336,20200817,88.4000,88.4000,88.4000,88.4000,4
INTLBCO31633,20200817,50.4000,50.4000,50.4000,50.4000,20
INTLBCO31989,20200817,38.8500,38.8500,38.8500,38.8500,100
INTLBCO32870,20200817,27.8500,27.8500,27.8500,27.8500,24
INTLBCO32896,20200817,34.0000,36.0500,34.0000,36.0500,60
INTLBCO33050,20200817,23.7500,23.9000,22.0000,23.9000,1700
INTLBCO33738,20200817,15.4600,15.4600,13.4400,14.0000,3014
INTLBND05595,20200817,81.3000,81.3000,81.3000,81.3000,20
