ALIOR,0,20230315,090001,39.0100,39.0100,39.0100,39.0100,615,0
ALIOR,0,20230315,090011,39.0100,39.0200,39.0000,39.0200,1256,0
ALIOR,0,20230315,090035,39.0000,39.0000,39.0000,39.0000,113,0
ALIOR,0,20230315,090058,39.0400,39.0600,39.0400,39.0600,477,0
ALIOR,0,20230315,090059,39.0600,39.0600,39.0600,39.0600,204,0
ALIOR,0,20230315,090119,39.0600,39.0600,39.0600,39.0600,100,0
ALIOR,0,20230315,090124,39.0700,39.0800,39.0700,39.0800,100,0
ALIOR,0,20230315,090224,39.0800,39.0800,39.0800,39.0800,139,0
ALIOR,0,20230315,090327,39.0300,39.0300,39.0300,39.0300,113,0
ALIOR,0,20230315,090341,39.0200,39.0200,39.0000,39.0000,747,0
ALIOR,0,20230315,090513,38.9900,38.9900,38.9900,38.9900,50,0
ALIOR,0,20230315,090529,39.0000,39.0400,39.0000,39.0400,1233,0
ALIOR,0,20230315,090534,39.0400,39.0500,39.0400,39.0500,419,0
ALIOR,0,20230315,090722,39.1300,39.1300,39.1300,39.1300,107,0
ALIOR,0,20230315,090723,39.1400,39.1800,39.1400,39.1800,638,0
ALIOR,0,20230315,090724,39.2700,39.2700,39.2700,39.2700,412,0
ALIOR,0,20230315,090725,39.3000,39.3000,39.3000,39.3000,100,0
ALIOR,0,20230315,090922,39.0600,39.0600,39.0600,39.0600,200,0
ALIOR,0,20230315,091418,39.3000,39.3600,39.3000,39.3600,403,0
ALIOR,0,20230315,091537,39.4300,39.4300,39.4300,39.4300,4,0
ALIOR,0,20230315,091714,39.4300,39.4300,39.3000,39.3000,334,0
ALIOR,0,20230315,091814,39.4800,39.5000,39.4800,39.5000,30,0
ALIOR,0,20230315,092008,39.4000,39.4000,39.4000,39.4000,146,0
ALIOR,0,20230315,092130,39.4700,39.4700,39.4700,39.4700,1,0
ALIOR,0,20230315,092224,39.4000,39.4000,39.4000,39.4000,135,0
ALIOR,0,20230315,092252,39.2900,39.2900,39.2900,39.2900,30,0
ALIOR,0,20230315,092301,39.3900,39.4000,39.3900,39.4000,120,0
ALIOR,0,20230315,092524,39.4000,39.4000,39.4000,39.4000,18,0
ALIOR,0,20230315,092543,39.4000,39.4300,39.4000,39.4300,75,0
ALIOR,0,20230315,093045,39.3000,39.3000,39.3000,39.3000,2,0
ALIOR,0,20230315,093055,39.3900,39.3900,39.3900,39.3900,6,0
ALIOR,0,20230315,093134,39.2200,39.2200,39.2200,39.2200,300,0
ALIOR,0,20230315,093425,39.2000,39.2000,39.2000,39.2000,395,0
ALIOR,0,20230315,093729,39.3800,39.3800,39.3800,39.3800,19,0
ALIOR,0,20230315,094109,39.2500,39.2500,39.2500,39.2500,250,0
ALIOR,0,20230315,094307,39.3500,39.3500,39.3500,39.3500,300,0
ALIOR,0,20230315,094644,39.2000,39.2000,39.1700,39.1700,200,0
ALIOR,0,20230315,095056,39.1700,39.1700,39.1700,39.1700,192,0
ALIOR,0,20230315,095302,39.1000,39.1000,39.0900,39.0900,300,0
ALIOR,0,20230315,095303,39.0900,39.0900,39.0900,39.0900,484,0
ALIOR,0,20230315,095359,39.0500,39.0500,39.0100,39.0100,890,0
ALIOR,0,20230315,095631,39.0100,39.0100,39.0000,39.0000,2274,0
ALIOR,0,20230315,095635,38.9100,38.9100,38.9000,38.9000,300,0
ALIOR,0,20230315,095908,38.8200,38.8200,38.8100,38.8100,190,0
ALIOR,0,20230315,095920,38.8100,38.8100,38.8000,38.8000,353,0
ALIOR,0,20230315,095921,38.7100,38.7100,38.6100,38.6100,556,0
ALIOR,0,20230315,095939,38.6100,38.6100,38.6100,38.6100,100,0
ALIOR,0,20230315,095955,38.6200,38.6200,38.6200,38.6200,149,0
ALIOR,0,20230315,100326,38.7800,38.8100,38.7800,38.8100,1035,0
ALIOR,0,20230315,100327,38.8300,38.8600,38.8300,38.8600,950,0
ALIOR,0,20230315,100330,38.8600,38.8800,38.8600,38.8800,275,0
ALIOR,0,20230315,100504,38.8800,38.8800,38.8800,38.8800,50,0
ALIOR,0,20230315,100716,39.0000,39.0000,39.0000,39.0000,30,0
ALIOR,0,20230315,101024,38.8800,38.8800,38.8300,38.8300,367,0
ALIOR,0,20230315,101032,38.8000,38.8000,38.7700,38.7700,327,0
ALIOR,0,20230315,101324,38.6700,38.6700,38.6700,38.6700,310,0
ALIOR,0,20230315,101600,38.6600,38.6600,38.6600,38.6600,10049,0
ALIOR,0,20230315,101602,38.6400,38.6400,38.6400,38.6400,100,0
ALIOR,0,20230315,101604,38.6200,38.6200,38.6200,38.6200,11,0
ALIOR,0,20230315,101615,38.6000,38.6000,38.5800,38.5800,435,0
ALIOR,0,20230315,101621,38.5200,38.5200,38.4900,38.4900,669,0
ALIOR,0,20230315,101703,38.6500,38.6500,38.6500,38.6500,50,0
ALIOR,0,20230315,102127,38.6500,38.6500,38.6500,38.6500,360,0
ALIOR,0,20230315,102355,38.5200,38.5200,38.5100,38.5100,197,0
ALIOR,0,20230315,102503,38.6100,38.6100,38.6100,38.6100,25,0
ALIOR,0,20230315,102622,38.4400,38.4400,38.4000,38.4000,345,0
ALIOR,0,20230315,102628,38.3800,38.3800,38.3800,38.3800,100,0
ALIOR,0,20230315,102629,38.5000,38.5000,38.5000,38.5000,46,0
ALIOR,0,20230315,102829,38.3400,38.3400,38.3400,38.3400,613,0
ALIOR,0,20230315,102841,38.3000,38.3000,38.2700,38.3000,1783,0
ALIOR,0,20230315,103121,38.4100,38.4100,38.4000,38.4000,612,0
